,,,,,,,,Dusun 1,,Dusun 2,,Dusun 3,,Dusun 4,,Dusun 5,,Dusun 5,,Dusun 6,,,,,DST
ACEH,ACEH BARAT,Bubon,Alue Bakong,96.093689,4.30471,√,,Alue Bakong,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Alue Lhok,96.092124,4.305684,√,,Alue Lhok,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Beurawang,96.073823,4.282439,√,,Beurawang,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Blang Sibeutong,96.168308,4.319808,√,,Blang Sibeutong,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Cot Keumuneng,96.139111,4.308756,√,,Cot Keumuneng,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Cot Lada,"96,1468",4.311861,√,,Cot Lada,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Gunong Panah,96.101185,4.308068,√,,Gunong Panah,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Kuala Pling,96.11479,4.31096,√,,Kuala Pling,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Kuta Padang,96.086142,4.298481,√,,Kuta Padang,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Layung,96.089717,4.29696,√,,Layung,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Liceh,96.128185,4.319427,√,,Liceh,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Peulanteu SP,96.149904,4.30897,√,,Peulanteu SP,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Rambong,96.083847,4.280858,√,,Rambong,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Seumuleng,96.106561,4.308395,√,,Seumuleng,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Seuneubok Trap,96.137051,4.308558,√,,Seuneubok Trap,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Suak Pangkat,96.14271,4.308035,√,,Suak Pangkat,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Bubon,Ulee Blang,96.126956,4.311278,√,,Ulee Blang,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Blang Beurandang,96.151364,4.187777,√,,Raja,Berlistrik PLN,Manggis,0,Paya Silimeng,0,Paya Simpo,0,Blang Poroh,0,Lam Ayon,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Drien Rampak,96.130688,4.154144,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,Dusun IV,0,Dusun V,Berlistrik PLN,Dusun VI,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Gampa,96.131945,4.165639,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,Dusun IV,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Gampong Darat,96.137595,4.160277,√,,Beringin,Berlistrik PLN,Manggis,0,Durian,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Kampung Belakang,96.126142,4.137294,√,,Seulanga,Berlistrik PLN,Melur,0,Melati,0,Anggrek,0,Mawar,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Kuta Padang,96.122433,4.147707,√,,Singgah Mata 1,Berlistrik PLN,Singgah Mata 2,Berlistrik PLN,Geureute,Berlistrik PLN,Leuser,Berlistrik PLN,Keumala,Berlistrik PLN,Seulawah,Berlistrik PLN,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Lapang,96.140943,4.178165,√,,Teungoh,Berlistrik PLN,Cot Nibong,0,Cot Kandeh,0,Ujong Barasok,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Leuhan,96.146581,4.181444,√,,Dusun I,Berlistrik PLN,dusun II,0,Dusun III,0,Dusun IV,0,Dusun v,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Padang Seurahet,96.139385,4.145564,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,Dusun IV,0,Dusun V,0,Dusun VI,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Panggong,96.129012,4.138764,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Pasar Aceh,96.130186,4.135188,√,,Merdeka,Berlistrik PLN,Surdiman,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Pasir,96.126996,4.135092,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Rundeng,96.13461,4.15217,√,,LK I,Berlistrik PLN,LK II,0,LK III,0,LK IV,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Seuneubok,96.118373,4.166295,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,Dusun IV,0,Dusun V,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Suak Indrapuri,96.129301,4.132002,√,,Camat Laut,Berlistrik PLN,Elang,0,Garuda,0,Merak,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Suak Nie,96.088363,4.194204,√,,Keuchik Ali,Berlistrik PLN,Mesjid,0,Teuku Raja Itam,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Suak Raya,96.099212,4.183032,√,,CN Meureudom,Berlistrik PLN,Kubah Pahlawan,0,Teuku Umar,0,Tm. Arief,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Suak Ribee,96.112377,4.158528,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Suak Sigadeng,96.104163,4.165503,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Ujong Baroh,96.127304,4.149243,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,Dusun Iv,0,Dusun V,0,0,0,,,,,,
ACEH,ACEH BARAT,Johan Pahlawan,Ujong Kalak,96.127166,4.140875,√,,Dusun I,Berlistrik PLN,Dusun II,0,Dusun III,0,Dusun IV,0,Dusun v,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Alue Lhee,96.228298,4.327238,√,,Alue Lhee,Berlistrik PLN,Pemuda,0,Melati,0,PKG,0,Mawar,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Alue Lhok,96.184722,4.323288,√,,Alue Lhok,Berlistrik PLN,Swadaya,0,T. Gunong Meuh,0,PKK,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Alue On,96.191181,4.266622,√,,Alue On,Berlistrik PLN,Lampineung,0,Pemuda,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Alue Peudeung,96.21015,4.305757,√,,Alue Peudeung,Berlistrik PLN,Mesjid,0,Kubu,0,Nyaran,0,Tgk. Tuha,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Alue Tampak,96.158114,4.210156,√,,Alue Tampak,Berlistrik PLN,Tuwi Kambuk,0,Cot Glumpang  ,0,Cuhada,0,Padang Kruet,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Babah Meulaboh,96.210539,4.279752,√,,Babah Meulaboh,Berlistrik PLN,Mawar,0,Melati,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Batu Jaya,96.280996,4.330095,√,,Batu Jaya,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Beureugang,96.177416,4.23082,√,,Beureugang,Berlistrik PLN,Blang Kulam,0,Tgk. Muda Nyak Him,0,Cot Mane,0,Gaki Gunong,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Blang Dalam,96.219846,4.303434,√,,Blang Dalam,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Blang Geunang,96.228538,4.256172,√,,Blang Geunang,Berlistrik PLN,Lason,0,Serba Guna,0,Teuladan,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Drien Caleue,96.226443,4.317641,√,,Drien Caleue,Berlistrik PLN,Pemuda,0,Langgar,0,Sarah Bate,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Kampong Mesjid,96.166005,4.225268,√,,Kampong Mesjid,Berlistrik PLN,T. Meurah,Berlistrik PLN,T. Diribe,Berlistrik PLN,T. Muda Dalam,Berlistrik PLN,T. Sampan Chik,Berlistrik PLN,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Keude Aron,96.169855,4.22369,√,,Keude Aron,Berlistrik PLN,Abu Bakar,Berlistrik PLN,Mulya,Berlistrik PLN,Pemuda,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Keude Tanjong,96.207727,4.28911,√,,Keude Tanjong,Berlistrik PLN,Permata,0,Sentosa,0,Harapan,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Keuramat,96.182564,4.349957,√,,Keuramat,Berlistrik PLN,Mulia,0,Sejahtera,0,Harapan,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Marek,96.161784,4.193065,√,,Marek,Berlistrik PLN,Nyak Dewi,0,Pante Kulu,0,Tgk. Manyak,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Meunasah Ara,96.165678,4.221646,√,,Meunasah Ara,Berlistrik PLN,Jurong Mulya,0,Jurong Setia,0,Bahagia,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Meunasah Buloh,96.160198,4.218703,√,,Meunasah Buloh,Berlistrik PLN,Indah,0,Haji Wood,0,Bina guna            ,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Meunasah Gantung,96.19793,4.277059,√,,Meunasah Gantung,Berlistrik PLN,Tgk. Dilampoh,0,Dilika,0,T. Muda Husen,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Meunasah Rambot,96.194511,4.253586,√,,Meunasah Rambot,Berlistrik PLN,0,0,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Meunasah Rayeuk,96.173494,4.222745,√,,Meunasah Rayeuk,Berlistrik PLN,Damai,0,Nustha,0,Mutia,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Meunuang Tanjong,96.209983,4.288699,√,,Meunuang Tanjong,Berlistrik PLN,Tenang,0,Balee,0,Mawar,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Muko,96.192945,4.252329,√,,Muko,Berlistrik PLN,Meulu,0,Jeumpa,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Padang Mancang,96.160587,4.221562,√,,Padang Mancang,Berlistrik PLN,Cot Kandeh,0,Tgk. Mahmud        ,0,Makmur              ,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Padang Sikabu,96.18553,4.34306,√,,Padang Sikabu,Berlistrik PLN,Cinta Rasa,0,Rasa Sayang,0,Sejahtera,0,0,0,0,0,,,,,,
ACEH,ACEH BARAT,Kaway XVI,Palimbungan,96.201482,4.259501,√,,Palimbungan,Berlistrik PLN,Teuku Abu,0,Cot Bak U,0,Datok Kuala,0,0,0,0,0,,,,,,
