,,,,,,,,Dusun 1,,Dusun 2,,Dusun 3,,Dusun 4,,Dusun 5,,Dusun 5,,Dusun 6,,,,,DST
ACEH,ACEH SELATAN,Bakongan Timur,Seuleukat,97.583321,2.896108,√,,dusun 1,Berlistrik PLN,Dusun 2,Berlistrik PLN,Dusun 3,Berlistrik PLN,Dusun 4,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Bakongan Timur,Simpang,97.558046,2.915354,√,,tamah bak jok,Berlistrik PLN,keramat,Berlistrik PLN,alu buloh,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Bakongan Timur,Ujong Pulo Cut,97.510444,2.907563,√,,blang belita,Berlistrik PLN,lembah cut ali,Berlistrik PLN,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Bakongan Timur,Ujong Pulo Rayeuk,97.529293,2.890956,√,,gorong,Berlistrik PLN,pulau dua,Berlistrik PLN,padang raya,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Barat Daya,97.335278,3.056422,√,,hulu,Berlistrik PLN,tengah,Berlistrik PLN,hilir,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Gampong Luar,97.327237,3.063617,√,,asal putra,Berlistrik PLN,jati selaras,Berlistrik PLN,simpang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Geulumbuk,97.338189,3.077289,√,,makmur,Berlistrik PLN,damai,Berlistrik PLN,jaya,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Indra Damai,97.345111,3.045395,√,,suka harapan,Berlistrik PLN,suka bumi,Berlistrik PLN,suka jaya,Berlistrik PLN,suka damai,Berlistrik PLN,suka makmur,Berlistrik PLN,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Jua,97.32865,3.06815,√,,makmur,Berlistrik PLN,permai,Berlistrik PLN,balita,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Kapeh,97.3337,3.06437,√,,tepian balai,Berlistrik PLN,suak bola,Berlistrik PLN,suak raban,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Kedai Kandang,97.324763,3.06307,√,,kumbang baru,Berlistrik PLN,pantai kasih,Berlistrik PLN,simpang kenangan,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Kedai Runding,97.346027,3.06966,√,,ujong tanah,Berlistrik PLN,kubur panjang,Berlistrik PLN,jambur kapuk,Berlistrik PLN,suak silaih,Berlistrik PLN,suka makmur,Berlistrik PLN,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Pasi Meurapat,97.322888,3.071025,√,,koto,Berlistrik PLN,bahagia,Berlistrik PLN,luar,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Pasie Lembang,97.351326,3.016095,√,,kedai,Berlistrik PLN,tengah,Berlistrik PLN,suaq buloh,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Pulo Ie,97.33584,3.066687,√,,meunasah,Berlistrik PLN,suak puntung,Berlistrik PLN,tengah,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Rantau Binuang,97.359579,3.061261,√,,induk,Berlistrik PLN,muara,Berlistrik PLN,makamah,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Sialang,97.328167,3.06039,√,,tani,Berlistrik PLN,harapan,Berlistrik PLN,rahmad,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Suaq Bakung,97.321102,3.056608,√,,cempaka,Berlistrik PLN,bahagia,Berlistrik PLN,pasar,Berlistrik PLN,pantai,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Ujung,97.329214,3.064208,√,,harapan,Berlistrik PLN,muri,Berlistrik PLN,baro,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Ujung Padang,97.339324,3.029814,√,,harapan,Berlistrik PLN,cahaya harapan,Berlistrik PLN,sinar harapan,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Selatan,Ujung Pasir,97.328865,3.08227,√,,pasar baru,Berlistrik PLN,D. cempaka,Berlistrik PLN,D. mawar,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Alur Keujrun,97.290574,3.348015,√,,sarah baru,Berlistrik Non PLN,sarah mungkur,Berlistrik Non PLN,tgk damar buih,Berlistrik Non PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Jambo Papan,97.379588,3.188822,√,,lawe ngamat,Berlistrik PLN,tengah,Berlistrik PLN,padang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Kampung Padang,97.364928,3.214057,√,,alur buluh,Berlistrik PLN,alur rambung,Berlistrik PLN,impres,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Kampung Sawah,97.368168,3.213194,√,,mesjid,Berlistrik PLN,pantan salan,Berlistrik PLN,rumah dalam,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Koto,97.3706216,3.2121194,√,,baru,Berlistrik PLN,tengah,Berlistrik PLN,lubuk,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Koto Indarung,97.393446,3.192561,√,,koto,Berlistrik PLN,tengoh,Berlistrik PLN,padang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Lawe Melang,97.380879,3.209018,√,,arum babah,Berlistrik PLN,telago mental,Berlistrik PLN,take kinti,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Malaka,97.373462,3.205353,√,,genteng,Berlistrik PLN,mesjid,Berlistrik PLN,tadek,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Mersak,97.35604,3.211467,√,,pasar baru,Berlistrik PLN,ladang,Berlistrik PLN,pertanian,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Pulo Air,97.360971,3.21273,√,,pantan gajah mati,Berlistrik PLN,taqwa,Berlistrik PLN,pantai air,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Simpang Dua,97.349043,3.199836,√,,harapan,Berlistrik PLN,duku,Berlistrik PLN,tua,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Simpang Tiga,97.337228,3.195853,√,,manggis,Berlistrik PLN,tiabo,Berlistrik PLN,wajar,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Tengah,Siurai-Urai,97.393064,3.195626,√,,sungkai,Berlistrik PLN,lehong,Berlistrik PLN,baru,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Alai,97.379274,3.089037,√,,D.T.fatatani,Berlistrik PLN,d.p.jerok,Berlistrik PLN,d.p.serui,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Durian Kawan,97.375354,3.087629,√,,mesjid,Berlistrik PLN,punti,Berlistrik PLN,sawah buloh,Berlistrik PLN,tanah munggu,Berlistrik PLN,labah rambung,Berlistrik PLN,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Lawe Buluh Didi,97.410898,3.135614,√,,alur didi,Berlistrik PLN,rahmat,Berlistrik PLN,makmur,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Lawe Cimanok,97.407634,3.15205,√,,teladan,Berlistrik PLN,semangat,Berlistrik PLN,tapak aulia,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Lawe Sawah,97.407832,3.146199,√,,utama,Berlistrik PLN,matsisir,Berlistrik PLN,tanjung,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Paya Dapur,97.384149,3.095673,√,,bahagia,Berlistrik PLN,beringin,Berlistrik PLN,perapat,Berlistrik PLN,alang,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Paya Laba,97.357916,3.072283,√,,mesjid,Berlistrik PLN,balai gading,Berlistrik PLN,kilat fajar,Berlistrik PLN,kubang gajanh,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Pucuk Lembang,97.455723,3.102663,√,,pelamban,Berlistrik PLN,rajali,Berlistrik PLN,krung beukah,Berlistrik PLN,alu bili,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Timur,Sapik,97.370521,3.082946,√,,mesjid,Berlistrik PLN,manggis,Berlistrik PLN,pendidikan,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Alur Mas,97.373618,3.145595,√,,alur punti,Berlistrik PLN,tengoh,Berlistrik PLN,ceracai,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Fajar Harapan,97.31616,3.121629,√,,bahagia,Berlistrik PLN,cik lambada,Berlistrik PLN,T.usen,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Gunong Pulo,97.325725,3.114555,√,,Phang hasan,Berlistrik PLN,linggoeng,Berlistrik PLN,tgk idris,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Gunung Pudung,97.385826,3.140486,√,,Kulah,Berlistrik PLN,tengah,Berlistrik PLN,Rendong,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Jambo Manyang,97.323345,3.095226,√,,jorong ateuh,Berlistrik PLN,suak ladang,Berlistrik PLN,suak bugeh,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Kampung Paya,97.36736,3.108579,√,,Tengah,Berlistrik PLN,Teladan,Berlistrik PLN,Padang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Kampung Tinggi,97.379537,3.122697,√,,tinggi,Berlistrik PLN,tengah,Berlistrik PLN,sawah buloh,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Kedai Padang,97.318681,3.074943,√,,cot muling,Berlistrik PLN,blang badeh,Berlistrik PLN,lhok gelupang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Kotafajar,97.339162,3.088342,√,,takwa,Berlistrik PLN,mustakim,Berlistrik PLN,utama,Berlistrik PLN,mawar,Berlistrik PLN,mangga,Berlistrik PLN,mushalla,Berlistrik PLN,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Krueng Batee,97.320026,3.111977,√,,cot mane,Berlistrik PLN,teungoh,Berlistrik PLN,sawah buloh,Berlistrik PLN,bineh krueng,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Krueng Batu,97.349268,3.103396,√,,rimeh,Berlistrik PLN,tengoh,Berlistrik PLN,bineh gunong,Berlistrik PLN,panton selaseh,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Krueng Kluet,97.373371,3.119052,√,,pawoh,Berlistrik PLN,mata ie,Berlistrik PLN,pandan,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Limau Purut,97.341388,3.085596,√,,tengoh,Berlistrik PLN,sawah,Berlistrik PLN,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Pasi Kuala Asahan,97.304279,3.12962,√,,darul makmur,Berlistrik PLN,pasie teungoh,Berlistrik PLN,rawang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Pasi Kuala Ba'u,97.31363,3.089088,√,,dusun pasie,Berlistrik PLN,dusun pantang,Berlistrik PLN,dusun g. baroe,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Pulo Ie I,97.325672,3.108541,√,,kawat,Berlistrik PLN,tengoh,Berlistrik PLN,ladang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Pulo Kambing,97.360213,3.099561,√,,jaya,Berlistrik PLN,makmur,Berlistrik PLN,sejahtera,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Ruak,97.382197,3.136248,√,,bakti,Berlistrik PLN,karya,Berlistrik PLN,padang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Simpang Empat,97.330771,3.086465,√,,harapan jaya,Berlistrik PLN,harapan baru,Berlistrik PLN,bineh kueng,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Simpang Lhee,97.320885,3.080762,√,,taqwa,Berlistrik PLN,naga hitam,Berlistrik PLN,sejahtera,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kluet Utara,Suaq Geuringgeng,97.316877,3.083631,√,,bineh krueng,Berlistrik PLN,manggis,Berlistrik PLN,antara,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Alurduamas,97.55921,2.983082,√,,suka maju,Berlistrik PLN,suka karya,Berlistrik PLN,suka mulia,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Beutong,97.543028,2.982134,√,,suka maju,Berlistrik PLN,suka ramai,Berlistrik PLN,ingin jaya,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Buket Gadeng,97.502903,2.970499,√,,simpang lhee,Berlistrik PLN,panton angkasah,Berlistrik PLN,sentosa,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Jambo Keupok,97.552156,2.983311,√,,suka damai,Berlistrik PLN,seunebok karee,Berlistrik PLN,hilir,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Rambong,97.5196,2.976934,√,,rambong,Berlistrik PLN,bahagia,Berlistrik PLN,gunung sayang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Seuneubok Alur Buloh,97.549339,2.970597,√,,alur selaseh,Berlistrik PLN,alur rondeng,Berlistrik PLN,alur geulugu,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Seuneubok Keuranji,97.513692,2.995041,√,,jeumpa,Berlistrik PLN,karia bakti,Berlistrik PLN,pala,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Ujong Gunong Cut,97.534406,2.977496,√,,suka makmur,Berlistrik PLN,binaan,Berlistrik PLN,ingin jaya,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Ujong Gunung Rayeuk,97.530747,2.980071,√,,ibu kota,Berlistrik PLN,padang datar,Berlistrik PLN,ie wabah,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Kota Bahagia,Ujong Tanoh,97.554484,2.979476,√,,tunas baru,Berlistrik PLN,suka jaya,Berlistrik PLN,suka tani,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Batee Meucanang,96.982021,3.581873,√,,Mushalla,Berlistrik PLN,Pendidikan,Berlistrik PLN,Blang Dalam,Berlistrik PLN,Pang Adam,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Blang Baru,96.957636,3.577399,√,,Bandar Baru 1,Berlistrik PLN,Blang Baru 2,Berlistrik PLN,Blang baru,Berlistrik PLN,Kp Ladang,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Blang Poroh,96.967252,3.567507,√,,Ujung,Berlistrik PLN,Tengah,Berlistrik PLN,Gaya Baru,Berlistrik PLN,Darussalam,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Iku Lhueng,96.9562,3.587076,√,,Mesjid,Berlistrik PLN,Darul Aman,Berlistrik PLN,Kasanatul Hikam,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Kuta Iboh,96.969494,3.565889,√,,Atas,Berlistrik PLN,Mushalla,Berlistrik PLN,Tengah,Berlistrik PLN,Bawah,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Kuta Trieng,96.959883,3.601887,√,,Surya Indah,Berlistrik PLN,Kuta Trieng,Berlistrik PLN,Ujong Blang,Berlistrik PLN,Krueng Baru,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Pante Geulima,96.959698,3.591731,√,,Pinang,Berlistrik PLN,Pantai,Berlistrik PLN,Tengah,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Panton Pawoh,96.983437,3.6153,√,,Bayah,Berlistrik PLN,Mesjid,Berlistrik PLN,Darul Wahidin,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Panton Rubek,96.961273,3.602604,√,,Rubiah,Berlistrik PLN,Makmur,Berlistrik PLN,Durian Jaok,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Peulokan,96.979107,3.578535,√,,Mesjid,Berlistrik PLN,Mushalla,Berlistrik PLN,Pasar,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Pulo Ie,96.949699,3.577136,√,,Ingin Jaya,Berlistrik PLN,Blang Kuala,Berlistrik PLN,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Suak Lokan,96.952254,3.581849,√,,Pagar Ruyung,Berlistrik PLN,Tengah,Berlistrik PLN,Padang Ganting,Berlistrik PLN,Hulu,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Teungoh Iboh,96.979271,3.574198,√,,Kurnia,Berlistrik PLN,Kayanggan,Berlistrik PLN,Melati,Berlistrik PLN,Ingin Jaya,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Tutong,96.981537,3.568239,√,,Pasar,Berlistrik PLN,Tengah,Berlistrik PLN,Barat,Berlistrik PLN,Timur,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Barat,Ujung Padang,96.973389,3.577746,√,,Bahagia,Berlistrik PLN,Syaikuna,Berlistrik PLN,Pendidikan,Berlistrik PLN,Sejahtera,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Aur Peulumat,97.035318,3.511071,√,,Mina,Berlistrik PLN,Al Jadid,Berlistrik PLN,Alfalah,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Beutong,97.039194,3.513304,√,,Melati,Berlistrik PLN,Makam Tgk Keramat,Berlistrik PLN,Teratai,Berlistrik PLN,Tgk Keramat,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Gunung Rotan,97.042435,3.518428,√,,Pasar,Berlistrik PLN,Darul Amilin,Berlistrik PLN,Darul A'la,Berlistrik PLN,Darul Huda,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Keumumu Hilir,97.019974,3.524972,√,,Darul Muttaqin,Berlistrik PLN,Pasar,Berlistrik PLN,Darul Aman,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Keumumu Hulu,97.022154,3.527915,√,,Sejahtera,Berlistrik PLN,Darul Huda,Berlistrik PLN,Gunung Sawang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Keumumu Seberang,97.022027,3.532255,√,,Balai Tanjung,Berlistrik PLN,Talago Gadang,Berlistrik PLN,Ujung Padang,Berlistrik PLN,Salak,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Limau Saring,97.039037,3.509804,√,,Darul Selamat,Berlistrik PLN,Darul Muttaqin,Berlistrik PLN,Darul Mutadin,Berlistrik PLN,Darul Mutiara,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Padang Peulumat,97.03577,3.508578,√,,Induk Baru,Berlistrik PLN,Tengah,Berlistrik PLN,Pendidikan,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Paya Peulumat,97.031293,3.502282,√,,Mushalla,Berlistrik PLN,Sukun,Berlistrik PLN,Ujung Pandang,Berlistrik PLN,Blang Pineung,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Peuneulop,97.040751,3.51196,√,,Masjid,Berlistrik PLN,Suka Damai,Berlistrik PLN,Pinang Baris,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Sawang Indah,97.006446,3.530892,√,,Sejahtera,Berlistrik PLN,Mulia,Berlistrik PLN,Sentosa,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhan Haji Timur,Tengah Peulumat,97.031103,3.505687,√,,Pasar 1,Berlistrik PLN,Pasar 2,Berlistrik PLN,Tinggi,Berlistrik PLN,Muling,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Apha,96.995865,3.555246,√,,Atas,Berlistrik PLN,Tengah,Berlistrik PLN,Bawah,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Bakau Hulu,97.010334,3.5476,√,,Telaga Batu,Berlistrik PLN,Tengah Baru,Berlistrik PLN,Beutung Baru,Berlistrik PLN,Pancoran,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Cacang,96.995087,3.562203,√,,Barat 1,Berlistrik PLN,Barat 2,Berlistrik PLN,Timur 1,Berlistrik PLN,Timur 2,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Dalam,96.994302,3.556748,√,,Mulia,Berlistrik PLN,Keramat,Berlistrik PLN,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Hulu Pisang,96.997769,3.567522,√,,Sebrang Sawah,Berlistrik PLN,Kauman,Berlistrik PLN,Hulu,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Kota Palak,96.995092,3.559329,√,,Selamat,Berlistrik PLN,Rohani,Berlistrik PLN,Palak Butong,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Lembah Baru,96.984278,3.559175,√,,Ingin Jaya,Berlistrik PLN,Permai,Berlistrik PLN,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Manggis Harapan,97.005689,3.548874,√,,Harapan,Berlistrik PLN,Tengah,Berlistrik PLN,Hilir,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Padang Bakau,97.007891,3.540477,√,,Dusun 1,Berlistrik PLN,Dusun 2,Berlistrik PLN,Dusun 3,Berlistrik PLN,Dusun 4,Berlistrik PLN,Dusun 5,Berlistrik PLN,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Padang Baru,96.983819,3.561022,√,,Mesjid,Berlistrik PLN,Suka Damai,Berlistrik PLN,0,0,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Pasar Lama,96.996806,3.548031,√,,Karang,Berlistrik PLN,Koto,Berlistrik PLN,Koto Tinggi,Berlistrik PLN,Kuala,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Pawoh,96.993132,3.555642,√,,Beringin,Berlistrik PLN,Sawah,Berlistrik PLN,Berandang,Berlistrik PLN,Pasir,Berlistrik PLN,Halaman,Berlistrik PLN,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Pisang,97.000374,3.571964,√,,Pasar,Berlistrik PLN,Madrasah,Berlistrik PLN,Kauman,Berlistrik PLN,Pisang 1,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Tengah Baru,96.983846,3.563152,√,,Suka Ramai,Berlistrik PLN,Ingin maju,Berlistrik PLN,Hilir Baru,Berlistrik PLN,Suka Damai,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Tengah Pisang,96.995951,3.562589,√,,Bahagia,Berlistrik PLN,Sentosa,Berlistrik PLN,Sejahtera,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Labuhanhaji,Ujung Batu,96.9981849,3.5565592,√,,Atas,Berlistrik PLN,Tengah,Berlistrik PLN,Pasar,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Meukek,Alue Baro,97.071458,3.492467,√,,Ateuh,Berlistrik PLN,Tengah,Berlistrik PLN,Bineh ie,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Meukek,Alue Meutuah,97.083377,3.426982,√,,Delima,Berlistrik PLN,Simpang Empat,Berlistrik PLN,Saribu Pandang,Berlistrik PLN,0,0,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Meukek,Arun Tunggai,97.055194,3.468156,√,,Kuta Ladang,Berlistrik PLN,Meurandeh,Berlistrik PLN,Bineh ie,Berlistrik PLN,Tunggai,Berlistrik PLN,0,0,0,0,,,,,,
ACEH,ACEH SELATAN,Meukek,Blang Bladeh,97.061314,3.467346,√,,Baroh,Berlistrik PLN,Ateuh,Berlistrik PLN,Tengoh,Berlistrik PLN,0,0,0,0,0,0,,,,,,
